102,45
96,72
106,45
103,26
100,50
96,01
90,98
98,82
101,21
98,59
100,82
104,20
111,86
102,52
104,61
108,02
102,51
101,36
103,92
103,21
104,07
108,01
103,22
106,34
108,33
103,65
108,21
102,86
106,30
102,79
102,73
105,10
100,81
101,44
105,19
102,97
110,07
109,82
108,84
109,53
106,55
104,40
105,35
106,54
106,24
111,50
110,15
112,42
116,61
113,54
116,43
111,90
110,63
115,68
118,20
108,52
114,21
112,23
115,66
112,21
119,75
118,80
116,75
116,82
116,85
110,90
112,42
115,41
113,53
121,01
132,04
121,17
123,28
126,67
120,68
129,69
120,28
125,80
117,95
123,45
131,59
127,12
129,28
128,05
131,31
136,46
126,10
127,72
128,90
121,74
125,62
119,63
124,01
126,35
135,54
131,64
135,57
131,19
129,68
129,26
132,39
127,75
124,13
129,24
134,37
133,07
137,24
131,81
130,55
132,70
130,13
132,10
134,21
129,44
125,97
131,37
129,54
130,80
140,19
147,48
141,91
135,84
139,20
136,54
133,59
133,11
130,01
128,77
130,78
132,75
137,93
145,14
133,48
128,27
130,89
130,48
135,99
130,60
128,90
130,78
133,39
136,45
140,79
147,10
136,12
140,34
134,64
131,73
133,72
137,14
131,22
128,00
137,98
141,44
144,90
141,78
141,13
137,63
133,23
133,21
135,55
141,58
132,22
134,39
138,73
137,62
143,86
144,83
138,87
136,65
139,32
142,93
141,78
140,75
136,93
139,85
140,52
145,68
156,08
150,23
147,89
148,38
142,61
149,74
147,94
143,98
142,55
142,07
152,57
144,66
149,73
149,00
151,02
143,04
144,83
148,85
146,30
149,16
146,31
149,73
152,78
154,78
156,55
152,67
152,88
148,55
144,15
149,06
150,57
151,55
146,62
147,75
155,28
152,46
162,58
154,17
151,00
149,52
145,89
149,17
158,10
159,47
151,00
157,13
160,42
161,55
165,38
160,67
153,45
158,97
151,80
157,85
159,33
159,13
159,35
152,25
154,75
156,13
163,24
150,07
158,14
149,85
149,46
156,46
162,37
156,21
161,53
157,52
158,79
161,78
167,24
168,46
173,33
157,78
155,64
155,77
165,87
160,70
160,37
159,04
173,58
170,09
176,51
172,80
175,20
160,19
163,80
169,13
162,01
164,42
161,36
168,28
175,18
176,19
184,96
182,84
181,84
170,13
165,92
170,06
177,97
168,34
163,83
178,52
172,90
175,50
184,58
178,61
182,77
172,49
180,31
171,16
172,21
169,97
167,49
179,64
177,50
182,98
195,86
178,15
189,25
177,45
174,77
183,06
179,35
174,01
178,58
184,99
182,74
190,57
192,98
186,80
195,96
188,40
180,06
195,66
185,10
181,11
182,28
181,30
193,88
197,34
191,61
162,78
183,27
167,31
175,48
176,88
174,56
176,05
181,10
182,20
189,18
186,45
196,51
186,86
199,26
182,73
184,84
191,52
194,21
190,41
184,41
193,78
198,43
197,31
209,51
197,56
204,60
197,89
199,24
193,00
199,89
193,78
193,92
207,03
206,47
202,80
207,01
185,66
210,74
198,19
201,39
193,61
181,77
179,11
184,09
185,16
184,61
201,97
217,09
196,40
209,44
180,62
187,32
199,10
186,50
193,89
187,60
200,77
201,02
207,12
210,93
193,54
214,12
193,44
197,51
198,29
208,66
198,31
205,04
203,78
205,83
213,36
210,90
214,51
219,45
199,19
201,73
210,80
201,22
207,97
196,48
204,26
219,53
216,99
223,63
210,05
222,91
211,81
208,19
202,74
